Title,Key,Date,Genre,vn,vc,pf,va,pf4h,cl/vn,orch,ob,cl,bn,hn,db,pf.1,"flute,","violin,",viola,v,pf/org,fl,sop,vv,ch,eh,fl/vn,ww,br,org,alt,ten,bass
Marches (3),NA,1803,Keyboard,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adelaide (""Einsam wandelt dein Freund"")",Bb­ major,1794,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Violin Sonata No.9 (""Kreutzer"")",A major,1802,Chamber,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Bitten (""Gott, deine Güte reicht so weit"")",E major,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Die Liebe des Nächsten (""So jemand spricht: Ich liebe Gott!"")",Eb­ major,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Vom Tode (""Meine Lebenszeit verstreicht"")",F# minor,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Die Ehre Gottes aus der Natur (""Die Himmel rühmen des Ewigen Ehre"")",C major,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Gottes Macht und Vorsehung (""Gott ist mein Leid!"")",C major,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lieder: Bußlied (""An dir allein, an dir hab ich gendigt"")",A minor,1801,Vocal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.19,G minor,1797,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.20,G major,1795,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romance,F major,1798,Orchestral,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Rondos (2),NA,1796,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
